eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,ownerInstitutionCode
south2-1,,photo,,,,present,Cervus elaphus,Animalia,Chordata,Mammalia,Artiodactyla,Cervinae,Cervus,elaphus,,species,,,
south4-1,,photo,,,,present,Cervus elaphus,Animalia,Chordata,Mammalia,Artiodactyla,Cervinae,Cervus,elaphus,,species,,,
south5-1,,photo,,,,present,Cervus elaphus,Animalia,Chordata,Mammalia,Artiodactyla,Cervinae,Cervus,elaphus,,species,,,
south5-2,,photo,,,,present,Cervus elaphus,Animalia,Chordata,Mammalia,Artiodactyla,Cervinae,Cervus,elaphus,,species,,,
south5-3,,photo,,,,present,Cervus elaphus,Animalia,Chordata,Mammalia,Artiodactyla,Cervinae,Cervus,elaphus,,species,,,
north9-1,,photo,,,,present,Sorex araneus,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,araneus,,species,,,
north7-1,,photo,,,,present,Oryctolagus cuniculus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,cuniculus,,species,,,
north7-2,,photo,,,,present,Oryctolagus cuniculus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,cuniculus,,species,,,
north5-1,,photo,,,,present,Oryctolagus cuniculus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,cuniculus,,species,,,
north5-2,,photo,,,,present,Oryctolagus cuniculus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,cuniculus,,species,,,
north8-1,,photo,,,,present,Anthus pratensis,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,pratensis,,species,,,
north7-3,,photo,,,,present,Apodemus sylvaticus,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,sylvaticus,,species,,,
north1-1,,photo,,,,present,Sciurus vulgaris,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,vulgaris,,species,,,
